Hostname,User,Type
desktop-raqmtst,long-owl,Intended usage
duba,long-shark,Made-up word
netmon,long-turtle,Software running
nibbler,long-turtle,Non-descriptive word
oracle-cloud,lynx-cobra,Hosting provider
kali,lynx-coho,OS name
siva,lynx-coho,Made-up word
projector-test1,lynx-mamba,Intended usage
hall,manx-owl,Physical location
pifr24,marmoset-pangolin,Hardware
hafnium,marmoset-pythagorean,Non-descriptive word
cornerpi,monkey-blues,Physical location
gaffiere,monkey-frog,Made-up word
matildaii-vm,monkey-heptatonic,Made-up word
octopi,monkey-justice,Software running
raspberrypi,monkey-mountain,Default name
feuerberg,monkey-puffin,Non-English word
gernkogel,monkey-puffin,Non-English word
neugarten,monkey-puffin,Non-English word
softpro,monkey-toad,Random words
droplet,moose-shark,Hosting provider
balder,moose-tone,Non-descriptive word
pop-os,moose-tuna,OS name
pawalt-laptop,motmot-velociraptor,Hardware+Non-descriptive word
raspberrypi,mouse-celsius,Default name
adams-ubuntu-desktop,mouse-diatonic,Hardware+OS+Name
frege,mouse-turtle,Made-up word
aristotle,mouse-turtle,Human-like name
nuc,narwhal-major,Software running
notyourserver,ocelot-pentatonic,Snark
poppy,ocelot-snapper,Non-descriptive word
guac,ocelot-snapper,Non-English word
raspberrypi,ocelot-snapper,Default name
hotel,orca-in,Physical location
minipi,orca-tone,Made-up word
kushfest-net,ostrich-yo,Intended usage
l,otter-cloud,Random characters
gerty3001,owl-map,Human-like name
rikhwanto-server,owl-toad,Human-like name
spike,panda-arctic,Non-descriptive word
dash,panda-arctic,Non-descriptive word
asus,panda-in,Hardware
tss,panda-lizard,Random words
anthrax,panda-perch,Non-descriptive word
mirai,panda-perch,Non-descriptive word
zznas01,penguin-coho,Intended usage
proxmox,penguin-gecko,Software running
pik2,penguin-major,Software running
opnsense,pig-chromatic,Software running
mini-pc,pig-tuna,Hardware
plexpi,platypus-in,Software running
gw-cloud,platypus-snake,Software running
monit,pug-bull,Software running
rpihome,pug-bull,Physical location
raspberrypi,pug-crocodile,Default name
dmm,raptor-bebop,Random characters
pi-poe-office-185,raptor-iguana,Hardare+Location
piholelxc1,raptor-ratio,Software running
arm-oracle-vm,rat-lake,Hosting provider
hub,ratfish-grue,Intended usage
wsl2-server,reindeer-tuna,Software running
m1-air,reindeer-tuna,Hardware
cloud-sg-1,rhino-chickadee,Hosting provider
qiu-13,rhino-chickadee,Human-like name
pi-sg,rhino-chickadee,Hardware
nas-ds214,risk-cloud,Intended usage
nas-ds218,risk-cloud,Intended usage
homematic-raspi,risk-cloud,Software+OS
ttrss,risk-cloud,Random characters
iobroker,risk-cloud,Intended usage
zoneminder,risk-cloud,Intended usage
rpi0,risk-delta,Hardware
amp,risk-gecko,Non-descriptive word
hq-ws01,risk-liberty,Physical location
restoretest,saga-boa,Intended usage
pihole,saga-jazz,Software running
main-rig,scorpion-mountain,Intended usage
deditoolbox,serval-agama,Software running
homeassistant,serval-gecko,Software running
itsuki,shark-harmonic,Intended usage
ohome,shark-python,Physical location
helios64,shark-tone,Fictional thing
midas,shark-yo,Fictional thing
linode,sheep-cobra,Hosting provider
monitoring,sheep-cobra,Intended usage
slab,sheep-stork,Non-descriptive word
tingr,siren-coho,Made-up word
tminideb,siren-coho,Intended usage
tdev,siren-coho,Intended usage
tcdev,siren-coho,Intended usage
tboost,siren-coho,Intended usage
raisin,skunk-cloud,Non-descriptive word
ecs-2d5e,skunk-iwato,Hosting provider
hound,snake-cloud,Non-descriptive word
pve,snake-cloud,Non-descriptive word
honebami,snake-harmonic,Fictional thing
hallwaypi,snake-micro,Hardare+Location
rpi-pnt,snake-pentatonic,Hardware
influxdb,sparrow-butterfly,Software running
jenkins,sparrow-butterfly,Software running
homebridge,spitz-yo,Software running
horizon,squirrel-map,Non-descriptive word
kmaster,starling-interval,Intended usage
hs,starling-salmon,Intended usage
parkers-macbook-pro-2,swallow-ratio,Default name
mom,tailnet-00e4,Human-like name
dst1,tailnet-00e4,Random characters
er4,tailnet-00e4,Random characters
derp,tailnet-00e4,Intended usage
az-vpn,tailnet-054f,Hosting provider
media-nas,tailnet-080e,Intended usage
flypi,tailnet-08a0,Software running
9884be5eb80a,tailnet-08d3,Random characters
d1-ubuntu,tailnet-0db1,OS name
jared-dev,tailnet-109f,Human-like name
igor-romanov,tailnet-10aa,Human-like name
soradns,tailnet-193d,Intended usage
pikvm,tailnet-20c4,Software running
homeassistant,tailnet-2a8f,Software running
cardinal,tailnet-2b09,Non-descriptive word
kingfisher,tailnet-2b09,Non-descriptive word
canary,tailnet-2b09,Intended usage
ctr-myapp-connected,tailnet-2ce5,Intended usage
mbp-2014,tailnet-2e57,Hardware
vevenas,tailnet-2ffe,Human-like name
pi2,tailnet-2ffe,Hardware
kcaj-satellite,tailnet-3006,Intended usage
pi4,tailnet-3899,Hardware
ubuntu,tailnet-3f25,OS name
xgxtec-pc,tailnet-3f6a,Hardware+Name
krapfen,tailnet-4c60,Non-English word
armachine,tailnet-4c60,Hardware
raspberrypi,tailnet-4c60,Default name
bt1,tailnet-5151,Random characters
mini,tailnet-51f4,Software running
pihole-2,tailnet-5393,Software running
pihole-1,tailnet-5393,Software running
johnny-surface-laptop,tailnet-5393,OS+User
tailscale-pihole,tailnet-5393,Software running
pihole-azure-1,tailnet-5393,Software running
permanent-teleport-1,tailnet-56da,Intended usage
khashbookpro-1,tailnet-56da,Hardware
tuturu,tailnet-56ff,Japanese word
pi,tailnet-59ab,Hardware
pc-win,tailnet-5aef,Hardward+OS
pc-linux,tailnet-5aef,Hardward+OS
lwpvg9p84dx2,tailnet-7466,Random characters
lwpvg5cg0421rc6,tailnet-7466,Random characters
dwpvg20200313,tailnet-7466,Random characters
blackrock,tailnet-7691,Non-descriptive word
pihole-2,tailnet-777e,Software running
pihole-1,tailnet-777e,Software running
edgerouter-x-5-port,tailnet-777e,Hardware
johnnyserver,tailnet-777e,Hardware+Name
kv,tailnet-78d6,Intended usage
mba-m1,tailnet-8556,Hardward+Usage
hoangs-macbook-air,tailnet-8556,Default name
raspberrypi4b8g,tailnet-8725,Hardware
synology,tailnet-8725,Software running
ruf,tailnet-8725,Non-descriptive word
es-alc1-ws7007,tailnet-8899,Hardware
carbonite,tailnet-88c5,Software running
prism,tailnet-88c5,Non-descriptive word
pihole,tailnet-948b,Software running
foresense,tailnet-9553,Made-up word
moonbeam,tailnet-9553,Made-up word
pihole,tailnet-9553,Software running
jump-nas,tailnet-96d1,OS name
fedora,tailnet-981a,OS name
nas,tailnet-a300,Intended usage
dops-playground-jenkins,tailnet-a86c,Software running
pikvm,tailnet-aa28,Software running
quasar,tailnet-aa28,Non-descriptive word
pulsar,tailnet-aa28,Non-descriptive word
pepper,tailnet-ab22,Non-descriptive word
ha,tailnet-ac67,Random characters
moss,tailnet-ae56,Non-descriptive word
mxlink,tailnet-b4f1,Software running
mewtwo,tailnet-b593,Pokemon
mew,tailnet-b593,Pokemon
nano,tailnet-b757,Size
raspberrypi,tailnet-baa2,Default name
desktop-d5tasmt,tailnet-baa2,Random characters
aorus,tailnet-bb86,Non-descriptive word
venafi-tpp-dev,tailnet-bb86,Software running
rust,tailnet-c937,Software running
brix,tailnet-ca0a,Software running
pikvm,tailnet-cd29,Software running
4r0zavpy1bot3kg4,tailnet-cdb8,Random characters
t1nlru61xn9jillo,tailnet-cdb8,Random characters
6tob4v5w5fsmou02,tailnet-cdb8,Random characters
o25e62iw8ab88gg8,tailnet-cdb8,Random characters
ebphgvrnes959xe9,tailnet-cdb8,Random characters
q9impy24q2kstkqb,tailnet-cdb8,Random characters
g0f1csmf5kc87agb,tailnet-cdb8,Random characters
